id_aluno;nome;data_nascimento;cpf;email;telefone;endereco
85;Aluno 85;2004-08-17;67810017958;aluno85@email.com;452969278;Endereço 85
86;Aluno 86;1998-06-26;81837475604;aluno86@email.com;559811700;Endereço 86
87;Aluno 87;2000-03-19;31145182997;aluno87@email.com;343572971;Endereço 87
88;Aluno 88;1992-11-18;30985326203;aluno88@email.com;833954073;Endereço 88
89;Aluno 89;1995-11-20;27670650329;aluno89@email.com;995374044;Endereço 89
90;Aluno 90;1993-05-19;86595477174;aluno90@email.com;753253779;Endereço 90
91;Aluno 91;1997-05-01;97584766669;aluno91@email.com;897175917;Endereço 91
92;Aluno 92;2001-05-27;56259479338;aluno92@email.com;412502744;Endereço 92
93;Aluno 93;1996-09-13;77992415053;aluno93@email.com;477650157;Endereço 93
94;Aluno 94;1999-05-22;85862906055;aluno94@email.com;381622195;Endereço 94
95;Aluno 95;2001-06-20;78881930351;aluno95@email.com;596404504;Endereço 95
96;Aluno 96;2000-03-15;18027590585;aluno96@email.com;222633075;Endereço 96
97;Aluno 97;1999-08-31;72771671613;aluno97@email.com;482463445;Endereço 97
98;Aluno 98;2001-04-23;23170384658;aluno98@email.com;854514873;Endereço 98
99;Aluno 99;2001-09-14;13213800675;aluno99@email.com;441301849;Endereço 99
100;Aluno 100;2003-01-05;69959895087;aluno100@email.com;965697639;Endereço 100
101;Aluno 101;1999-05-08;15573498991;aluno101@email.com;989081012;Endereço 101
102;Aluno 102;2002-08-29;42430752567;aluno102@email.com;137015591;Endereço 102
103;Aluno 103;1993-08-19;37286374183;aluno103@email.com;789546258;Endereço 103
104;Aluno 104;2007-07-17;38095669520;aluno104@email.com;479852249;Endereço 104
105;Aluno 105;1993-03-31;47579063414;aluno105@email.com;434698025;Endereço 105
106;Aluno 106;1998-07-28;72221175276;aluno106@email.com;579911635;Endereço 106
107;Aluno 107;1992-08-28;51441895848;aluno107@email.com;779824959;Endereço 107
108;Aluno 108;2006-12-20;19211558020;aluno108@email.com;209878580;Endereço 108
109;Aluno 109;2003-08-03;42455214647;aluno109@email.com;109977472;Endereço 109
110;Aluno 110;2002-06-22;85077173830;aluno110@email.com;565272056;Endereço 110
111;Aluno 111;2000-09-12;67929171548;aluno111@email.com;849777626;Endereço 111
112;Aluno 112;1998-12-17;82970948968;aluno112@email.com;679391385;Endereço 112
113;Aluno 113;2003-08-18;61930787721;aluno113@email.com;457122422;Endereço 113
114;Aluno 114;1994-09-02;16834229762;aluno114@email.com;815788779;Endereço 114
115;Aluno 115;1998-09-13;78611804848;aluno115@email.com;828779291;Endereço 115
116;Aluno 116;1998-04-08;86666512914;aluno116@email.com;177136519;Endereço 116
117;Aluno 117;2002-05-17;67919796119;aluno117@email.com;251228370;Endereço 117
118;Aluno 118;1995-04-11;25386056472;aluno118@email.com;766995581;Endereço 118
119;Aluno 119;2004-04-18;62092245636;aluno119@email.com;829144975;Endereço 119
120;Aluno 120;1998-07-30;25786387566;aluno120@email.com;270650665;Endereço 120
121;Aluno 121;1993-05-08;36993307101;aluno121@email.com;307258167;Endereço 121
122;Aluno 122;1993-09-19;30069911562;aluno122@email.com;171939794;Endereço 122
123;Aluno 123;2007-09-07;15388017350;aluno123@email.com;484727616;Endereço 123
124;Aluno 124;2000-06-01;74660287345;aluno124@email.com;695458143;Endereço 124
125;Aluno 125;1998-06-21;24115986156;aluno125@email.com;950826588;Endereço 125
126;Aluno 126;1993-12-30;21662859921;aluno126@email.com;991738970;Endereço 126
127;Aluno 127;2006-04-13;74717426904;aluno127@email.com;463268474;Endereço 127
128;Aluno 128;2001-11-08;78895734489;aluno128@email.com;883932109;Endereço 128
129;Aluno 129;1993-12-19;94351591276;aluno129@email.com;263019786;Endereço 129
130;Aluno 130;2000-10-19;70442898149;aluno130@email.com;205072108;Endereço 130
131;Aluno 131;2007-07-16;74535574166;aluno131@email.com;218543410;Endereço 131
132;Aluno 132;1997-06-28;23693752492;aluno132@email.com;282067164;Endereço 132
133;Aluno 133;2007-03-19;48228701673;aluno133@email.com;693910788;Endereço 133
134;Aluno 134;2003-12-15;45913154731;aluno134@email.com;221062601;Endereço 134
135;Aluno 135;2006-12-01;80166605068;aluno135@email.com;411475045;Endereço 135
136;Aluno 136;1992-08-05;44867526416;aluno136@email.com;268852063;Endereço 136
137;Aluno 137;1998-05-27;67774335383;aluno137@email.com;396650528;Endereço 137
138;Aluno 138;2004-01-22;84385485814;aluno138@email.com;614063939;Endereço 138
139;Aluno 139;1997-07-28;52311701008;aluno139@email.com;324049301;Endereço 139
140;Aluno 140;2000-11-09;95589951489;aluno140@email.com;855068409;Endereço 140
141;Aluno 141;2007-01-07;29106691408;aluno141@email.com;419195774;Endereço 141
142;Aluno 142;1997-08-26;60739657501;aluno142@email.com;563035851;Endereço 142
143;Aluno 143;2007-08-17;33758931991;aluno143@email.com;472984873;Endereço 143
144;Aluno 144;1996-08-13;52100324361;aluno144@email.com;995140127;Endereço 144
145;Aluno 145;2001-05-16;79273634891;aluno145@email.com;146016921;Endereço 145
146;Aluno 146;1998-07-22;89812069896;aluno146@email.com;826564219;Endereço 146
147;Aluno 147;2008-01-10;64267983878;aluno147@email.com;893981601;Endereço 147
148;Aluno 148;1999-01-08;41345533656;aluno148@email.com;250958845;Endereço 148
149;Aluno 149;1992-07-30;14850224150;aluno149@email.com;265172493;Endereço 149
150;Aluno 150;2002-01-01;45997363884;aluno150@email.com;844869277;Endereço 150
151;Aluno 151;2006-02-21;80147774466;aluno151@email.com;496098183;Endereço 151
152;Aluno 152;1996-11-21;95176630017;aluno152@email.com;468260413;Endereço 152
153;Aluno 153;1994-10-23;87085349512;aluno153@email.com;759143574;Endereço 153
154;Aluno 154;2006-01-18;29575069039;aluno154@email.com;838116842;Endereço 154
155;Aluno 155;2007-01-02;16909105832;aluno155@email.com;707075720;Endereço 155
156;Aluno 156;2006-08-05;29630838883;aluno156@email.com;323053566;Endereço 156
157;Aluno 157;1997-04-01;81929962226;aluno157@email.com;676479747;Endereço 157
158;Aluno 158;1995-06-16;55608901933;aluno158@email.com;742257029;Endereço 158
159;Aluno 159;1999-01-18;52550940428;aluno159@email.com;883779020;Endereço 159
160;Aluno 160;1994-12-22;11464303527;aluno160@email.com;529993380;Endereço 160
161;Aluno 161;1995-04-20;85381580546;aluno161@email.com;292122326;Endereço 161
162;Aluno 162;1998-12-07;85138799526;aluno162@email.com;784786158;Endereço 162
163;Aluno 163;2006-12-20;60882139966;aluno163@email.com;579254882;Endereço 163
164;Aluno 164;1999-09-15;68433666914;aluno164@email.com;989668520;Endereço 164
165;Aluno 165;1998-12-13;83056245886;aluno165@email.com;809677687;Endereço 165
166;Aluno 166;2006-10-08;65563240182;aluno166@email.com;488051539;Endereço 166
167;Aluno 167;2000-11-27;12112015740;aluno167@email.com;450442432;Endereço 167
168;Aluno 168;1999-06-22;64353027871;aluno168@email.com;673375860;Endereço 168
169;Aluno 169;1994-03-14;38117640360;aluno169@email.com;569639158;Endereço 169
170;Aluno 170;1997-07-17;60962331730;aluno170@email.com;261368311;Endereço 170
171;Aluno 171;1997-07-03;35785283607;aluno171@email.com;612127361;Endereço 171
172;Aluno 172;2003-12-14;98713306852;aluno172@email.com;133574255;Endereço 172
173;Aluno 173;2000-09-25;51495114153;aluno173@email.com;359708550;Endereço 173
174;Aluno 174;1998-12-02;61017961238;aluno174@email.com;932735228;Endereço 174
175;Aluno 175;1993-09-01;37505258841;aluno175@email.com;349329896;Endereço 175
176;Aluno 176;1999-03-20;72872516278;aluno176@email.com;210808782;Endereço 176
177;Aluno 177;2000-07-28;27009491189;aluno177@email.com;757743233;Endereço 177
178;Aluno 178;1998-01-06;47752612638;aluno178@email.com;264770146;Endereço 178
179;Aluno 179;1998-07-10;91645390468;aluno179@email.com;827771223;Endereço 179
180;Aluno 180;2008-05-29;95048601657;aluno180@email.com;533020777;Endereço 180
181;Aluno 181;1999-03-26;87337855506;aluno181@email.com;551723385;Endereço 181
182;Aluno 182;1992-06-01;85335858287;aluno182@email.com;296359669;Endereço 182
183;Aluno 183;2005-10-25;64705440412;aluno183@email.com;860002084;Endereço 183
184;Aluno 184;1993-09-26;32214504147;aluno184@email.com;924306262;Endereço 184
185;Aluno 185;1999-02-07;77067762373;aluno185@email.com;532989995;Endereço 185
186;Aluno 186;2007-08-22;26071540425;aluno186@email.com;449876372;Endereço 186
187;Aluno 187;2000-07-07;23522617705;aluno187@email.com;813285126;Endereço 187
188;Aluno 188;1997-01-12;53370668831;aluno188@email.com;103637759;Endereço 188
189;Aluno 189;1994-08-13;56141386953;aluno189@email.com;491313317;Endereço 189
190;Aluno 190;1999-06-21;13499179849;aluno190@email.com;761476858;Endereço 190
191;Aluno 191;2000-08-11;68213714763;aluno191@email.com;134064832;Endereço 191
192;Aluno 192;2006-06-18;87635583241;aluno192@email.com;249163981;Endereço 192
193;Aluno 193;1999-03-19;64278395754;aluno193@email.com;509141066;Endereço 193
194;Aluno 194;1994-03-10;87820771053;aluno194@email.com;223325243;Endereço 194
195;Aluno 195;1998-01-24;70295199156;aluno195@email.com;709249689;Endereço 195
196;Aluno 196;2003-04-08;41936016896;aluno196@email.com;518336442;Endereço 196
197;Aluno 197;2008-08-25;37650105832;aluno197@email.com;752237136;Endereço 197
198;Aluno 198;1995-09-20;22789950969;aluno198@email.com;813652625;Endereço 198
199;Aluno 199;2001-02-04;43022214806;aluno199@email.com;437548756;Endereço 199
200;Aluno 200;2000-07-16;68289907452;aluno200@email.com;795649415;Endereço 200
201;Aluno 201;1992-12-04;13781817919;aluno201@email.com;624450786;Endereço 201
202;Aluno 202;1995-04-15;23837242012;aluno202@email.com;607574877;Endereço 202
203;Aluno 203;1994-07-03;72501618634;aluno203@email.com;119732545;Endereço 203
204;Aluno 204;2003-02-04;68379188165;aluno204@email.com;312080655;Endereço 204
205;Aluno 205;2000-02-13;39653441369;aluno205@email.com;278637441;Endereço 205
206;Aluno 206;2006-10-25;51171592108;aluno206@email.com;592694242;Endereço 206
207;Aluno 207;1996-08-10;83020406257;aluno207@email.com;228719061;Endereço 207
208;Aluno 208;1993-07-12;66323364782;aluno208@email.com;246772689;Endereço 208
209;Aluno 209;2004-09-01;20173188819;aluno209@email.com;226629902;Endereço 209
210;Aluno 210;2005-05-31;33255162154;aluno210@email.com;636220761;Endereço 210
211;Aluno 211;1992-11-07;50560572632;aluno211@email.com;151198863;Endereço 211
212;Aluno 212;1997-12-01;52239493948;aluno212@email.com;783127193;Endereço 212
213;Aluno 213;2004-09-28;21880862236;aluno213@email.com;961352008;Endereço 213
214;Aluno 214;2006-12-26;13434148902;aluno214@email.com;116310711;Endereço 214
215;Aluno 215;1994-11-14;23336882649;aluno215@email.com;846122271;Endereço 215
216;Aluno 216;2001-11-16;77112041438;aluno216@email.com;600782889;Endereço 216
217;Aluno 217;1996-12-25;50591506353;aluno217@email.com;646663957;Endereço 217
218;Aluno 218;1995-08-07;14382886612;aluno218@email.com;636379733;Endereço 218
219;Aluno 219;2001-01-22;49641282352;aluno219@email.com;930860277;Endereço 219
220;Aluno 220;1993-12-02;75728486074;aluno220@email.com;319669638;Endereço 220
221;Aluno 221;2003-05-12;18319172666;aluno221@email.com;884499770;Endereço 221
222;Aluno 222;1992-05-12;75814210635;aluno222@email.com;813713091;Endereço 222
223;Aluno 223;1998-10-01;54441255841;aluno223@email.com;327011068;Endereço 223
224;Aluno 224;1996-10-15;31490206737;aluno224@email.com;360490068;Endereço 224
225;Aluno 225;2004-01-09;69561111251;aluno225@email.com;858264201;Endereço 225
226;Aluno 226;1993-06-17;53893442260;aluno226@email.com;860153159;Endereço 226
227;Aluno 227;1998-07-05;71423819048;aluno227@email.com;335237579;Endereço 227
228;Aluno 228;2000-09-27;41259774644;aluno228@email.com;811470414;Endereço 228
229;Aluno 229;1993-04-06;77303732704;aluno229@email.com;895497722;Endereço 229
230;Aluno 230;2007-10-14;23397723335;aluno230@email.com;182498869;Endereço 230
231;Aluno 231;2001-06-21;94715977663;aluno231@email.com;147157457;Endereço 231
232;Aluno 232;1992-06-18;87736660248;aluno232@email.com;613568298;Endereço 232
233;Aluno 233;1998-05-04;82018240972;aluno233@email.com;569405764;Endereço 233
234;Aluno 234;1997-04-05;46885167785;aluno234@email.com;263690877;Endereço 234
235;Aluno 235;2003-11-15;40977818378;aluno235@email.com;468033951;Endereço 235
236;Aluno 236;1994-08-31;96756125751;aluno236@email.com;997829191;Endereço 236
237;Aluno 237;1998-11-01;46206481477;aluno237@email.com;615249657;Endereço 237
238;Aluno 238;2005-02-04;34186748627;aluno238@email.com;398712551;Endereço 238
239;Aluno 239;1997-12-11;52206874859;aluno239@email.com;203643513;Endereço 239
240;Aluno 240;1999-09-03;50444757822;aluno240@email.com;584384256;Endereço 240
241;Aluno 241;1995-10-17;33364295636;aluno241@email.com;409632683;Endereço 241
242;Aluno 242;1994-03-16;67842535366;aluno242@email.com;590359804;Endereço 242
243;Aluno 243;2006-09-06;22030501945;aluno243@email.com;775577525;Endereço 243
244;Aluno 244;2007-06-23;48784169917;aluno244@email.com;540480930;Endereço 244
245;Aluno 245;1995-01-03;59880127268;aluno245@email.com;389764315;Endereço 245
246;Aluno 246;2000-09-09;51104325108;aluno246@email.com;812362099;Endereço 246
247;Aluno 247;2005-05-09;29596462273;aluno247@email.com;481001504;Endereço 247
248;Aluno 248;1998-10-27;85768692350;aluno248@email.com;876016491;Endereço 248
249;Aluno 249;1994-05-15;50664137109;aluno249@email.com;489170517;Endereço 249
250;Aluno 250;1998-09-08;92536089500;aluno250@email.com;766263987;Endereço 250
251;Aluno 251;2002-09-21;41131742943;aluno251@email.com;713222756;Endereço 251
252;Aluno 252;2002-05-24;33379257977;aluno252@email.com;371510967;Endereço 252
253;Aluno 253;1995-07-05;77334915229;aluno253@email.com;209250604;Endereço 253
254;Aluno 254;2002-08-27;55551071913;aluno254@email.com;961067414;Endereço 254
255;Aluno 255;2008-03-25;59939065759;aluno255@email.com;765375012;Endereço 255
256;Aluno 256;1994-01-15;87422572332;aluno256@email.com;592588749;Endereço 256
257;Aluno 257;1994-02-26;94488894096;aluno257@email.com;296560776;Endereço 257
258;Aluno 258;2002-04-14;40978261275;aluno258@email.com;438894568;Endereço 258
259;Aluno 259;1993-10-22;64649496496;aluno259@email.com;564671746;Endereço 259
260;Aluno 260;2002-05-02;13496872679;aluno260@email.com;695268363;Endereço 260
261;Aluno 261;2007-08-09;68262256762;aluno261@email.com;549382930;Endereço 261
262;Aluno 262;2005-02-28;71185902984;aluno262@email.com;620676795;Endereço 262
263;Aluno 263;1994-11-02;65623800004;aluno263@email.com;779630355;Endereço 263
264;Aluno 264;1993-06-05;80929700111;aluno264@email.com;157134919;Endereço 264
265;Aluno 265;1997-04-21;64543844431;aluno265@email.com;885056129;Endereço 265
266;Aluno 266;2008-01-21;12919818834;aluno266@email.com;159237735;Endereço 266
267;Aluno 267;2008-03-13;41136042867;aluno267@email.com;424264907;Endereço 267
268;Aluno 268;2006-07-18;33371131545;aluno268@email.com;230198696;Endereço 268
269;Aluno 269;1999-10-20;81610230570;aluno269@email.com;562034436;Endereço 269
270;Aluno 270;1992-07-08;33882434342;aluno270@email.com;719423169;Endereço 270
271;Aluno 271;1994-07-17;88519778822;aluno271@email.com;893669492;Endereço 271
272;Aluno 272;2002-11-14;64948142111;aluno272@email.com;438433827;Endereço 272
273;Aluno 273;1994-02-13;85713521024;aluno273@email.com;399681058;Endereço 273
274;Aluno 274;2005-12-29;64546390506;aluno274@email.com;286692654;Endereço 274
275;Aluno 275;2002-08-11;70374869478;aluno275@email.com;176414601;Endereço 275
276;Aluno 276;1998-09-23;67086669597;aluno276@email.com;258342432;Endereço 276
277;Aluno 277;2005-08-17;26530933291;aluno277@email.com;683408866;Endereço 277
278;Aluno 278;2002-05-12;89801383014;aluno278@email.com;897458240;Endereço 278
279;Aluno 279;2000-02-12;90046916092;aluno279@email.com;934433703;Endereço 279
280;Aluno 280;1999-07-25;93251671410;aluno280@email.com;577833856;Endereço 280
281;Aluno 281;1993-12-14;64376162908;aluno281@email.com;855518831;Endereço 281
282;Aluno 282;2002-11-06;88521700990;aluno282@email.com;464200104;Endereço 282
283;Aluno 283;2004-04-24;30400663022;aluno283@email.com;156487343;Endereço 283
284;Aluno 284;2003-03-30;97403793779;aluno284@email.com;428982837;Endereço 284
285;Aluno 285;1994-11-17;63762314308;aluno285@email.com;159581306;Endereço 285
286;Aluno 286;2006-07-27;36697720434;aluno286@email.com;397160861;Endereço 286
287;Aluno 287;2001-06-22;14086153974;aluno287@email.com;383000423;Endereço 287
288;Aluno 288;1994-04-25;35812753047;aluno288@email.com;515130978;Endereço 288
289;Aluno 289;1998-12-04;14673518398;aluno289@email.com;187388235;Endereço 289
290;Aluno 290;2000-08-24;26237678399;aluno290@email.com;943351266;Endereço 290
291;Aluno 291;2001-06-19;52872770682;aluno291@email.com;199568663;Endereço 291
292;Aluno 292;2008-06-10;17976146128;aluno292@email.com;818494332;Endereço 292
293;Aluno 293;2006-04-03;98402980313;aluno293@email.com;555893304;Endereço 293
294;Aluno 294;1998-10-30;13020854035;aluno294@email.com;202435283;Endereço 294
295;Aluno 295;1998-04-17;82234750858;aluno295@email.com;324431293;Endereço 295
296;Aluno 296;1998-09-25;70328552828;aluno296@email.com;833392479;Endereço 296
297;Aluno 297;2008-05-16;64745608945;aluno297@email.com;984804880;Endereço 297
298;Aluno 298;2007-12-13;18378820955;aluno298@email.com;764140147;Endereço 298
299;Aluno 299;1996-11-26;11358043080;aluno299@email.com;876991556;Endereço 299
300;Aluno 300;1994-08-12;96020608623;aluno300@email.com;906129330;Endereço 300
301;Aluno 301;1992-09-25;46336001547;aluno301@email.com;781824994;Endereço 301
302;Aluno 302;2003-06-17;71747202582;aluno302@email.com;852580705;Endereço 302
303;Aluno 303;2008-01-24;51748463646;aluno303@email.com;287282649;Endereço 303
304;Aluno 304;1997-09-30;76044077296;aluno304@email.com;616230285;Endereço 304
305;Aluno 305;2003-12-02;36742836171;aluno305@email.com;853357040;Endereço 305
306;Aluno 306;1994-08-11;49869851180;aluno306@email.com;103843109;Endereço 306
307;Aluno 307;1993-06-05;46250042961;aluno307@email.com;565747033;Endereço 307
308;Aluno 308;1997-07-11;35113275510;aluno308@email.com;605132044;Endereço 308
309;Aluno 309;2005-10-27;90715109183;aluno309@email.com;817201775;Endereço 309
310;Aluno 310;2002-11-04;26721294650;aluno310@email.com;634027062;Endereço 310
311;Aluno 311;1992-05-14;89317107576;aluno311@email.com;435496952;Endereço 311
312;Aluno 312;1996-08-31;96424270231;aluno312@email.com;296429645;Endereço 312
313;Aluno 313;2006-06-09;34716140790;aluno313@email.com;703470914;Endereço 313
314;Aluno 314;2005-08-12;37637182642;aluno314@email.com;954934947;Endereço 314
315;Aluno 315;2005-12-11;40337246688;aluno315@email.com;350579662;Endereço 315
316;Aluno 316;2001-03-05;77793190361;aluno316@email.com;791130776;Endereço 316
317;Aluno 317;1998-07-10;15304507604;aluno317@email.com;833209010;Endereço 317
318;Aluno 318;2001-12-31;35481078654;aluno318@email.com;201978049;Endereço 318
319;Aluno 319;2007-06-28;60676868054;aluno319@email.com;341369921;Endereço 319
320;Aluno 320;1997-08-28;65397354702;aluno320@email.com;919003036;Endereço 320
321;Aluno 321;1997-12-04;32185900812;aluno321@email.com;110526123;Endereço 321
322;Aluno 322;1995-03-06;67552187458;aluno322@email.com;686683109;Endereço 322
323;Aluno 323;2005-03-27;20891878318;aluno323@email.com;164530000;Endereço 323
324;Aluno 324;2006-03-25;11177215972;aluno324@email.com;837996359;Endereço 324
325;Aluno 325;1994-02-26;28420325162;aluno325@email.com;385927384;Endereço 325
326;Aluno 326;2005-04-12;55605538175;aluno326@email.com;157381291;Endereço 326
327;Aluno 327;2007-05-19;19359071912;aluno327@email.com;286350602;Endereço 327
328;Aluno 328;2008-02-18;74287681182;aluno328@email.com;713603948;Endereço 328
329;Aluno 329;1993-09-22;56601426566;aluno329@email.com;920578308;Endereço 329
330;Aluno 330;1996-09-09;23002901914;aluno330@email.com;134784613;Endereço 330
331;Aluno 331;1999-07-09;76762443215;aluno331@email.com;838950089;Endereço 331
332;Aluno 332;1994-11-18;87776121048;aluno332@email.com;690295425;Endereço 332
333;Aluno 333;1995-12-21;87758892611;aluno333@email.com;460057782;Endereço 333
334;Aluno 334;1993-07-26;86117075340;aluno334@email.com;384304511;Endereço 334
335;Aluno 335;2003-08-28;52453424349;aluno335@email.com;714482561;Endereço 335
336;Aluno 336;1995-08-18;14064415671;aluno336@email.com;783337347;Endereço 336
337;Aluno 337;1996-06-23;33449632486;aluno337@email.com;434821027;Endereço 337
338;Aluno 338;2002-10-11;81329445568;aluno338@email.com;271162281;Endereço 338
339;Aluno 339;2007-08-19;26283492842;aluno339@email.com;912637912;Endereço 339
340;Aluno 340;1996-05-08;65361815107;aluno340@email.com;702990373;Endereço 340
